Designator,Footprint,Quantity,Value,,Total,5
"C1, C14, C2 ,C5, C6",603,5,10u,,25,
"C10, C11, C12, C13, C15, C3, C4, C7, C8, C9",603,10,100n,,50,
"C16, C17",603,2,33p,,10,
D1,TO-269AA,1,KMB24F,,5,
"Q1, Q2, Q3, Q4, Q5",SOT-23,5,T2N7002BK,,25,
"R1, R2, R5, R6",603,4,6k8,,20,
R3,603,1,200R,,5,
"R7, R8, R9",603,3,1k,,15,
U1,SOT-23,1,PJ75AL33SA,,5,
U2,SOIC-8_3.9x4.9mm_P1.27mm,1,BDR6133,,5,
U3,SOIC-8_5.23x5.23mm_P1.27mm,1,W25Q64JVSSIQ,,5,
U4,QFN-56-1EP_7x7mm_P0.4mm,1,RP2040,,5,
Y1,Crystal_SMD_3225-4Pin_3.2x2.5mm,1,X322512MSB4SI,,5,
