Designator,Mid X,Mid Y,Rotation,Layer
C1,155.6,-96.7,0.0,top
C10,142.0,-109.3,180.0,top
C11,138.3,-106.4,270.0,top
C12,139.3,-98.4,90.0,top
C13,143.9,-97.6,90.0,top
C14,148.95,-99.8,0.0,top
C15,148.6,-94.4,270.0,top
C16,148.1,-108.2,90.0,top
C17,153.9,-108.4,270.0,top
C2,154.0,-100.425,270.0,top
C3,145.0,-109.3,0.0,top
C4,142.5,-97.6,90.0,top
C5,146.7,-97.6,90.0,top
C6,148.1,-97.6,90.0,top
C7,145.3,-97.6,90.0,top
C8,148.95,-101.2,0.0,top
C9,149.1,-105.3,0.0,top
D1,158.6,-100.5,180.0,top
Q1,152.5,-91.9,90.0,top
Q2,156.6,-108.3,0.0,top
Q3,160.5,-108.3,0.0,top
Q4,160.5,-104.9,0.0,top
Q5,156.6,-104.9,0.0,top
R1,150.1,-91.5,270.0,top
R2,150.1,-94.4,90.0,top
R3,149.5,-97.6,270.0,top
R4,148.6,-91.5,270.0,top
R5,155.625,-90.7,0.0,top
R6,155.6,-95.2,180.0,top
R7,155.6,-92.2,180.0,top
R8,155.6,-93.7,180.0,top
R9,139.0,-109.3,180.0,top
U1,152.5,-95.7,270.0,top
U2,159.8,-93.7,270.0,top
U3,142.8,-92.8,0.0,top
U4,143.2,-103.9,0.0,top
Y1,151.0,-108.2,180.0,top
